"fecha","linea","n"
2021-02-02,"BSAS_LINEA_501G",101522
2021-02-02,"FFCC ROCA",241864
2021-02-02,"FFCC SAR",131172
2021-02-03,"BSAS_LINEA_203",72972
2021-02-03,"BSAS_LINEA_501G",103979
2021-02-03,"FFCC ROCA",242728
2021-02-03,"FFCC SAR",128396
2021-02-04,"BSAS_LINEA_203",75613
2021-02-04,"BSAS_LINEA_501G",107005
2021-02-04,"FFCC ROCA",258290
2021-02-04,"FFCC SAR",123910
2021-02-05,"BSAS_LINEA_203",80959
2021-02-05,"BSAS_LINEA_501G",120339
2021-02-05,"FFCC ROCA",274571
2021-02-05,"FFCC SAR",123368
2021-02-06,"BSAS_LINEA_203",60117
2021-02-06,"BSAS_LINEA_501G",98379
2021-02-06,"FFCC ROCA",172323
2021-02-06,"FFCC SAR",48671
2021-02-07,"BSAS_LINEA_203",43749
2021-02-07,"BSAS_LINEA_501G",54429
2021-02-07,"FFCC ROCA",71256
2021-02-07,"FFCC SAR",13874
2021-02-08,"BSAS_LINEA_203",71247
2021-02-08,"BSAS_LINEA_501G",103939
2021-02-08,"FFCC ROCA",255543
2021-02-08,"FFCC SAR",131736
2021-02-09,"BSAS_LINEA_203",75705
2021-02-09,"BSAS_LINEA_501G",108473
2021-02-09,"FFCC ROCA",264724
2021-02-09,"FFCC SAR",139043
2021-02-10,"BSAS_LINEA_203",71229
2021-02-10,"BSAS_LINEA_501G",106200
2021-02-10,"FFCC ROCA",263714
2021-02-10,"FFCC SAR",131192
2021-02-11,"BSAS_LINEA_203",74877
2021-02-11,"BSAS_LINEA_501G",105305
2021-02-11,"FFCC ROCA",259185
2021-02-11,"FFCC SAR",123389
2021-02-12,"BSAS_LINEA_203",78772
2021-02-12,"BSAS_LINEA_501G",115557
2021-02-12,"FFCC ROCA",276282
2021-02-12,"FFCC SAR",126574
2021-02-13,"BSAS_LINEA_203",53422
2021-02-13,"BSAS_LINEA_501G",86645
2021-02-13,"FFCC ROCA",163361
2021-02-13,"FFCC SAR",54765
2021-02-14,"BSAS_LINEA_203",43428
2021-02-14,"BSAS_LINEA_501G",56424
2021-02-14,"FFCC ROCA",67911
2021-02-14,"FFCC SAR",13273
2021-02-15,"BSAS_LINEA_203",53623
